probability_of_default,expected_loss,credit_rating
0.1988,1687.4,D
0.2684,2362.49,E
0.973,3833.08,E
0.8319,3691.81,E
0.8134,4489.77,E
0.2085,821.04,E
0.7894,8550.37,E
0.6348,4377.62,E
0.3119,523.87,E
0.097,592.65,C
0.0284,117.1,B
0.058,352.82,C
0.7612,9366.01,E
0.6136,1866.67,E
0.1682,868.22,D
0.6909,773.65,E
0.0474,219.68,B
0.2917,657.78,E
0.3184,1310.67,E
0.4917,5023.0,E
0.6656,2557.5,E
0.8742,7112.14,E
0.1057,528.5,D
0.8234,1685.84,E
0.8837,5231.58,E
0.0589,429.96,C
0.3343,3170.29,E
0.3668,2430.87,E
0.2761,565.59,E
0.1067,593.15,D
0.044,540.99,B
0.427,4628.56,E
0.7233,4113.75,E
0.1397,920.08,D
0.3193,285.28,E
0.5104,5737.46,E
0.2616,2610.88,E
0.4917,1673.12,E
0.941,2326.19,E
0.7029,2726.59,E
0.9366,10606.29,E
0.6314,3633.12,E
0.1161,850.23,D
0.9562,2104.66,E
0.6279,2091.66,E
0.0898,504.76,C
0.6398,2480.12,E
0.1167,339.07,D
0.9889,2971.61,E
0.3312,430.45,E
0.8195,2014.9,E
0.9704,4048.78,E
0.0106,45.28,A
0.7547,5875.28,E
0.8604,1268.98,E
0.3388,1977.53,E
0.7663,4085.84,E
0.5603,2148.14,E
0.9607,5861.61,E
0.9724,7666.05,E
0.6724,2425.66,E
0.9387,4919.14,E
0.4294,1232.15,E
0.7867,2182.8,E
0.1088,459.9,D
0.1406,830.17,D
0.7528,3467.9,E
0.9478,2777.66,E
0.0178,83.23,A
0.603,2123.13,E
0.7698,1950.75,E
0.69,2301.82,E
0.2082,1523.05,E
0.6053,1226.19,E
0.1337,1051.42,D
0.0567,465.64,C
0.5679,2978.3,E
0.5629,2840.28,E
0.2536,704.12,E
0.2718,1179.39,E
0.9342,6396.58,E
0.2936,1789.3,E
0.4629,5695.13,E
0.0491,160.56,B
0.7886,3126.14,E
0.6058,2636.01,E
0.4255,1217.34,E
0.0695,89.76,C
0.1863,1809.97,D
0.7333,3502.79,E
0.2305,1219.49,E
0.4802,2836.82,E
0.6029,2703.13,E
0.8468,5221.5,E
0.1304,176.72,D
0.0089,38.4,A
0.2858,1081.54,E
0.6746,1094.85,E
0.9869,2923.38,E
0.9884,4553.73,E
0.9577,6221.07,E
0.2957,719.97,E
0.0626,188.92,C
0.9711,4666.19,E
0.2302,754.44,E
0.8827,2973.91,E
0.7315,1974.89,E
0.1566,795.71,D
0.1509,293.69,D
0.6866,3375.62,E
0.9656,10634.2,E
0.0785,298.74,C
0.6483,6617.75,E
0.0553,242.99,C
0.5805,1246.21,E
0.9491,3525.75,E
0.006,73.9,A
0.4649,2982.56,E
0.9009,4529.02,E
0.4017,1456.82,E
0.9855,2600.3,E
0.0731,217.18,C
0.0227,47.19,B
0.041,124.3,B
0.4445,1136.55,E
0.8977,2926.44,E
0.0226,96.46,B
0.8771,3668.77,E
0.8227,1634.13,E
0.3371,1404.32,E
0.7536,9272.19,E
0.2641,442.88,E
0.1998,421.25,D
0.8113,3265.51,E
0.0417,205.16,B
0.7489,6499.23,E
0.7974,1596.28,E
0.4048,923.88,E
0.0366,110.89,B
0.6698,4998.69,E
0.4049,458.77,E
0.6164,1946.92,E
0.7925,3224.52,E
0.8694,2927.04,E
0.911,2105.74,E
0.8186,2531.4,E
0.7992,4029.08,E
0.4761,1667.7,E
0.5323,5096.22,E
0.706,2711.63,E
0.1906,555.33,D
0.9008,2581.04,E
0.9738,2125.72,E
0.923,11357.39,E
0.2255,1150.57,E
0.9966,4144.81,E
0.966,6103.11,E
0.5773,1408.63,E
0.734,2394.71,E
0.4,2485.55,E
0.08,283.14,C
0.6522,2182.0,E
0.1788,1205.39,D
0.7916,1389.14,E
0.8918,7394.72,E
0.8054,3684.7,E
0.0309,103.72,B
0.4491,4185.11,E
0.0896,962.82,C
0.7459,6520.47,E
0.5499,5568.7,E
0.4239,3764.33,E
0.5723,1194.6,E
0.3588,834.31,E
0.2549,3136.69,E
0.9351,3027.91,E
0.9924,7108.62,E
0.4071,397.53,E
0.2546,1341.79,E
0.3286,629.73,E
0.4768,1628.27,E
0.2205,1991.53,E
0.07,297.49,C
0.4344,1842.16,E
0.8523,5475.67,E
0.6575,763.28,E
0.9375,11535.38,E
0.0115,63.09,A
0.0693,852.48,C
0.5863,4290.59,E
0.9137,3603.54,E
0.7515,2295.91,E
0.0627,228.01,C
0.3725,1178.65,E
0.7528,4262.77,E
0.9662,6115.14,E
0.0273,147.44,B
0.5006,2341.28,E
0.0231,207.79,B
0.8613,4921.9,E
0.2049,921.55,E
0.1533,442.58,D
0.5038,788.62,E
0.1893,1265.37,D
0.6115,2074.36,E
0.7842,1628.89,E
0.0771,452.7,C
0.2263,936.41,E
0.1675,1377.95,D
0.0621,174.35,C
0.3836,2227.53,E
0.9602,2024.51,E
0.7306,5734.75,E
0.3944,2670.87,E
0.1242,245.96,D
0.7819,3860.35,E
0.6904,4118.87,E
0.6485,3051.19,E
0.2842,1779.78,E
0.8065,3083.04,E
0.983,2517.31,E
0.6461,3978.3,E
0.8557,4507.7,E
0.6342,3281.08,E
0.2736,797.82,E
0.2114,1503.52,E
0.8985,11054.78,E
0.1165,318.46,D
0.8615,4168.88,E
0.8541,2880.56,E
0.2373,359.2,E
0.697,2481.18,E
0.2001,704.68,E
0.0978,450.6,C
0.809,4192.48,E
0.6198,3189.72,E
0.7448,2134.42,E
0.9622,11839.33,E
0.4126,1155.11,E
0.3346,1136.37,E
0.2461,715.68,E
0.9706,3288.28,E
0.5442,1947.46,E
0.2814,1293.12,E
0.9938,6108.39,E
0.0492,605.5,B
0.9231,5083.26,E
0.6787,1541.15,E
0.9118,3971.32,E
0.48,1269.35,E
0.0974,443.34,C
0.1581,857.85,D
0.625,2255.24,E
0.5202,2276.09,E
0.1604,1439.42,D
0.0307,124.42,B
0.7168,3187.11,E
0.7815,3140.19,E
0.2332,1229.44,E
0.9361,4468.18,E
0.9467,4283.42,E
0.7559,1930.88,E
0.5326,2552.25,E
0.6578,3734.4,E
0.6763,2305.16,E
0.9736,2336.76,E
0.9038,2074.82,E
0.0107,39.57,A
0.9787,12042.38,E
0.0588,723.96,C
0.3352,3843.3,E
0.9269,2613.15,E
0.1486,356.96,D
0.9394,8493.68,E
0.1976,1083.27,D
0.8191,1213.68,E
0.883,2956.8,E
0.9797,4574.21,E
0.6094,1319.93,E
0.9267,2160.92,E
0.9777,3759.18,E
0.1448,347.9,D
0.8467,9656.01,E
0.9891,3536.43,E
0.3126,1697.03,E
0.1372,455.09,D
0.1092,625.27,D
0.9567,11771.59,E
0.2327,797.62,E
0.9988,3328.21,E
0.6845,2145.19,E
0.8673,2945.51,E
0.9868,12141.59,E
0.0358,357.46,B
0.1004,778.69,D
0.9218,4633.8,E
0.6225,2103.3,E
0.151,1530.72,D
0.2446,1542.76,E
0.2234,314.63,E
0.9113,10096.09,E
0.1686,1176.38,D
0.4132,1508.52,E
0.4168,2245.23,E
0.1129,386.17,D
0.1062,836.09,D
0.6788,4477.63,E
0.6515,2124.32,E
0.3837,2019.11,E
0.0874,479.43,C
0.0945,671.43,C
0.4949,1622.66,E
0.1129,415.13,D
0.1322,420.53,D
0.484,3131.14,E
0.1041,640.47,D
0.7912,1440.14,E
0.997,5912.49,E
0.5008,1154.45,E
0.754,6200.22,E
0.7383,2431.04,E
0.1328,589.46,D
0.1165,407.89,D
0.2007,330.09,E
0.6738,5322.36,E
0.0166,64.82,A
0.9675,4891.95,E
0.9253,9424.53,E
0.0086,41.91,A
0.9221,3012.96,E
0.5112,473.61,E
0.9241,5241.07,E
0.7905,3316.33,E
0.004,14.81,A
0.1339,647.0,D
0.7237,4111.26,E
0.0549,317.49,C
0.7006,2866.56,E
0.9868,5274.5,E
0.9085,1831.63,E
0.6733,1587.66,E
0.8164,2925.07,E
0.7765,1432.69,E
0.9852,2445.08,E
0.1805,770.65,D
0.5932,7298.39,E
0.1184,397.88,D
0.008,18.06,A
0.0373,223.61,B
0.0058,14.84,A
0.1603,1218.4,D
0.1928,574.4,D
0.3588,2738.92,E
0.8914,4873.48,E
0.0617,672.74,C
0.1812,421.87,D
0.2752,1844.63,E
0.9522,4678.53,E
0.0258,119.25,B
0.6295,4876.31,E
0.9831,3885.44,E
0.4594,1339.62,E
0.7715,1578.77,E
0.9673,2575.21,E
0.293,1032.87,E
0.183,394.98,D
0.879,3900.06,E
0.1892,2327.5,D
0.854,10508.23,E
0.4552,1983.57,E
0.307,1803.75,E
0.9921,3354.37,E
0.5194,2622.4,E
0.5441,1115.89,E
0.4475,2177.6,E
0.2078,790.53,E
0.3075,3784.15,E
0.5497,1969.31,E
0.3131,2431.07,E
0.2715,826.61,E
0.0466,192.49,B
0.6202,5411.34,E
0.203,1412.94,E
0.3808,2855.94,E
0.8462,2687.57,E
0.6892,8480.42,E
0.8649,2546.89,E
0.4083,1244.65,E
0.736,2722.24,E
0.8827,2076.82,E
0.2038,588.07,E
0.3106,1625.29,E
0.939,3144.93,E
0.7424,4036.65,E
0.1241,483.13,D
0.2341,685.23,E
0.5019,4343.31,E
0.4427,1251.34,E
0.1818,1412.11,D
0.7705,4439.67,E
0.3607,1424.06,E
0.9049,6897.44,E
0.8408,2506.76,E
0.4562,2142.71,E
0.9173,8327.28,E
0.8904,5134.55,E
0.0359,93.2,B
0.7936,4774.21,E
0.5325,1978.73,E
0.0381,59.43,B
0.66,1209.14,E
0.2014,744.68,E
0.7066,3902.35,E
0.067,512.03,C
0.6015,1543.25,E
0.0047,57.98,A
0.7711,1677.18,E
0.083,558.24,C
0.6949,3184.3,E
0.9259,11169.94,E
0.1828,1714.4,D
0.9513,7159.94,E
0.0314,308.74,B
0.1027,457.04,D
0.3576,3005.49,E
0.9295,2762.86,E
0.9596,5881.64,E
0.0129,158.73,A
0.1772,1089.75,D
0.5609,2182.07,E
0.7845,3391.7,E
0.6834,4615.3,E
0.0879,1050.1,C
0.7602,6062.5,E
0.0135,59.1,A
0.9721,3275.88,E
0.7045,3256.65,E
0.5314,1027.06,E
0.0284,136.57,B
0.1162,1430.23,D
0.4853,4447.15,E
0.869,2293.16,E
0.0761,406.07,C
0.986,12132.26,E
0.9652,5814.17,E
0.3387,1082.61,E
0.7076,2350.63,E
0.5983,3226.89,E
0.7618,3889.28,E
0.9857,5931.64,E
0.7545,2166.73,E
0.8057,3019.23,E
0.5112,3275.27,E
0.1473,666.61,D
0.1922,513.12,D
0.5318,2224.08,E
0.7468,669.31,E
0.632,2829.2,E
0.98,2935.09,E
0.3763,2478.74,E
0.2222,1623.8,E
0.5941,974.52,E
0.1842,373.85,D
0.0325,134.11,B
0.044,283.15,B
0.8897,4600.67,E
0.571,2406.11,E
0.7981,8624.85,E
0.723,8896.37,E
0.2518,1018.32,E
0.7331,4782.37,E
0.7099,3586.57,E
0.9123,3916.79,E
0.2056,596.96,E
0.6554,3148.69,E
0.2445,1576.21,E
0.7095,3203.18,E
0.8487,6424.51,E
0.0381,211.43,B
0.7174,3154.87,E
0.5367,1349.4,E
0.5011,595.33,E
0.9788,4477.13,E
0.8606,5487.85,E
0.262,1267.83,E
0.934,2711.76,E
0.606,3251.89,E
0.8995,3406.61,E
0.1208,269.32,D
0.7078,2012.0,E
0.0456,257.93,B
0.3577,615.99,E
0.2278,1577.21,E
0.5316,1618.06,E
0.4875,4094.23,E
0.3651,794.25,E
0.1456,354.08,D
0.3735,2065.3,E
0.4416,4125.06,E
0.0321,366.85,B
0.2084,515.86,E
0.8513,4640.09,E
0.9475,4833.5,E
0.2593,1122.38,E
0.6423,2979.23,E
0.3134,3054.62,E
0.7714,5004.64,E
0.8062,9919.49,E
0.9203,4639.54,E
0.7575,7268.67,E
0.1241,355.12,D
0.1606,1148.3,D
0.3095,653.45,E
0.3627,1981.25,E
0.5711,2324.26,E
0.1027,442.87,D
0.7135,8778.52,E
0.0487,151.14,B
0.462,1580.74,E
0.5456,1861.61,E
0.5446,3833.48,E
0.0339,417.48,B
0.8702,5546.65,E
0.771,5228.46,E
0.9634,3793.79,E
0.6281,6218.75,E
0.0444,234.11,B
0.7914,3791.96,E
0.6218,3951.94,E
0.0035,6.37,A
0.1076,732.78,D
0.1277,848.13,D
0.0626,555.64,C
0.8475,5053.8,E
0.8861,3231.73,E
0.9496,2837.41,E
0.1872,828.27,D
0.118,316.53,D
0.5128,3003.06,E
0.2147,636.0,E
0.634,1235.02,E
0.3156,1425.1,E
0.2306,2837.21,E
0.9752,7052.59,E
0.2506,290.98,E
0.6045,5057.58,E
0.5587,1213.51,E
0.3449,577.47,E
0.8774,3362.23,E
0.7085,3465.54,E
0.8075,3452.74,E
0.7319,1726.57,E
0.32,1068.16,E
0.7945,1892.66,E
0.7661,1376.37,E
0.3321,1526.09,E
0.9242,3510.38,E
0.1763,1138.93,D
0.0404,367.33,B
0.7225,3949.9,E
0.9377,3007.19,E
0.3993,2828.48,E
0.7234,2051.61,E
0.0335,139.04,B
0.0164,80.12,A
0.6051,3545.43,E
0.2097,528.1,E
0.0475,244.39,B
0.8957,11021.39,E
0.5471,3614.11,E
0.9819,2127.27,E
0.1361,521.32,D
0.2317,1053.98,E
0.3478,2086.05,E
0.3397,497.46,E
0.1134,463.94,D
0.5041,3969.37,E
0.511,4189.16,E
0.1209,309.05,D
0.5247,2790.53,E
0.0777,464.63,C
0.0814,476.02,C
0.8817,985.43,E
0.7085,2561.81,E
0.9292,2829.36,E
0.9468,3516.4,E
0.2017,1077.07,E
0.1651,729.82,D
0.7769,3090.05,E
0.6305,4512.69,E
0.2836,3102.54,E
0.396,4025.65,E
0.4262,1978.65,E
0.9284,4672.49,E
0.062,190.54,C
0.1268,340.7,D
0.3369,2530.55,E
0.4304,2262.26,E
0.1434,544.42,D
0.7936,2148.16,E
0.6765,4186.44,E
0.8409,1946.5,E
0.8888,3380.83,E
0.9166,2559.15,E
0.9926,9406.4,E
0.0671,364.42,C
0.5662,1949.15,E
0.136,360.55,D
0.0476,178.98,B
0.841,3403.67,E
0.8704,2449.84,E
0.2249,1088.59,E
0.103,163.85,D
0.8122,2015.51,E
0.0299,95.94,B
0.6553,4349.98,E
0.3398,4180.86,E
0.8059,6106.97,E
0.9363,6905.56,E
0.3491,3591.0,E
0.9867,3020.66,E
0.2069,768.87,E
0.4688,3039.73,E
0.9501,2211.49,E
0.3293,1554.15,E
0.0115,44.76,A
0.2295,1050.37,E
0.1886,826.99,D
0.2883,745.41,E
0.3155,1254.22,E
0.0265,232.63,B
0.97,4815.24,E
0.6245,2210.76,E
0.1539,1553.69,D
0.7557,9298.22,E
0.2512,1407.88,E
0.4853,1482.08,E
0.303,1174.51,E
0.2281,2806.85,E
0.2797,552.6,E
0.0868,497.17,C
0.9941,5843.69,E
0.8316,1825.54,E
0.8841,5946.24,E
0.534,1620.52,E
0.7856,4002.42,E
0.6779,3279.51,E
0.0617,334.4,C
0.9903,1738.73,E
0.4984,1882.89,E
0.0089,51.09,A
0.6261,2597.49,E
0.339,991.72,E
0.9847,3205.94,E
0.1935,547.35,D
0.1662,706.36,D
0.9062,3175.42,E
0.2696,1037.28,E
0.9033,1755.28,E
0.0143,117.12,A
0.1063,676.02,D
0.9637,6592.75,E
0.2302,541.09,E
0.1769,529.08,D
0.1644,1001.01,D
0.1962,2249.92,D
0.923,1633.13,E
0.9419,3299.21,E
0.0061,23.8,A
0.0807,278.91,C
0.1706,2099.16,D
0.1956,567.35,D
0.3137,1727.25,E
0.8683,8459.18,E
0.4566,1913.36,E
0.8654,3593.83,E
0.6428,1363.86,E
0.9745,521.87,E
0.0584,326.55,C
0.3526,2422.1,E
0.1221,633.0,D
0.0284,201.31,B
0.3747,835.17,E
0.9083,3160.65,E
0.0074,19.36,A
0.8487,9694.54,E
0.854,1905.58,E
0.9826,3410.17,E
0.1842,804.03,D
0.1895,421.9,D
0.1085,611.09,D
0.6974,6123.52,E
0.8818,8232.13,E
0.8132,4204.63,E
0.9902,2226.47,E
0.3437,2543.78,E
0.4345,1498.29,E
0.3006,553.96,E
0.4367,2190.99,E
0.4083,5023.63,E
0.2921,3026.68,E
0.7462,1612.2,E
0.0857,449.92,C
0.2722,2419.08,E
0.7596,4122.38,E
0.7724,2696.86,E
0.5551,2355.07,E
0.2386,2936.14,E
0.9195,3313.07,E
0.6641,3761.09,E
0.7327,2141.51,E
0.7868,6953.37,E
0.9346,2667.82,E
0.3129,822.18,E
0.2419,693.87,E
0.9185,2260.21,E
0.3086,3797.16,E
0.4097,812.91,E
0.8031,3677.27,E
0.0658,227.52,C
0.6238,5953.39,E
0.413,1051.6,E
0.8235,1645.57,E
0.4006,2199.8,E
0.8419,4335.64,E
0.0272,179.04,B
0.1521,711.47,D
0.1805,465.36,D
0.0125,51.83,A
0.0237,47.96,B
0.7045,2070.19,E
0.5208,1655.55,E
0.0416,141.54,B
0.203,518.52,E
0.3182,1828.65,E
0.1038,443.97,D
0.9913,4108.49,E
0.3823,1036.65,E
0.5288,6506.16,E
0.8369,1894.7,E
0.9127,4978.95,E
0.0538,477.32,C
0.6054,3905.88,E
0.9909,4900.23,E
0.7034,8654.94,E
0.7183,4682.81,E
0.746,1785.39,E
0.9152,3048.85,E
0.3684,1548.96,E
0.7558,2809.89,E
0.2348,1570.67,E
0.842,10360.1,E
0.8469,9964.25,E
0.9403,7171.58,E
0.4491,2255.27,E
0.1654,335.27,D
0.9722,1299.09,E
0.6888,2551.12,E
0.8963,2853.9,E
0.1393,400.78,D
0.6379,2914.3,E
0.1629,831.21,D
0.7663,3761.36,E
0.1225,410.36,D
0.4302,1305.13,E
0.9551,4669.18,E
0.7836,933.58,E
0.0896,130.96,C
0.4409,1103.2,E
0.9811,3415.25,E
0.042,263.91,B
0.6311,7692.68,E
0.359,868.08,E
0.8878,6473.3,E
0.3263,4015.21,E
0.9534,2766.88,E
0.1579,478.67,D
0.6843,3605.3,E
0.2754,1339.84,E
0.5311,6535.15,E
0.7901,6414.26,E
0.4324,1735.47,E
0.2785,756.13,E
0.9663,2269.78,E
0.0167,119.52,A
0.4592,1900.42,E
0.9473,4561.58,E
0.278,2552.74,E
0.67,2884.95,E
0.2441,1648.51,E
0.9342,4162.8,E
0.0169,46.94,A
0.7127,8769.53,E
0.1947,841.7,D
0.7201,1416.88,E
0.886,1654.11,E
0.905,2166.39,E
